1.38E-04,0.999861714,1.69E-69,5.37E-29,4.37E-64,5.03E-42,2.75E-44,6.74E-112,1.65E-89,5.85E-58,5.81E-45,9.05E-33,WatchTV
1,3.57E-19,3.91E-87,1.38E-47,5.43E-81,9.21E-59,9.21E-59,2.64E-126,1.18E-103,5.64E-80,7.06E-92,1.83E-46,WatchTV
1,3.57E-19,3.91E-87,1.38E-47,5.43E-81,9.21E-59,9.21E-59,2.64E-126,1.18E-103,5.64E-80,7.06E-92,1.83E-46,WatchTV
1,3.57E-19,3.91E-87,1.38E-47,5.43E-81,9.21E-59,9.21E-59,2.64E-126,1.18E-103,5.64E-80,7.06E-92,1.83E-46,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,2.10E-17,3.37E-83,1.06E-44,3.48E-78,4.33E-55,2.53E-55,7.23E-123,1.77E-100,5.37E-78,1.25E-84,9.71E-44,WatchTV
1,2.10E-17,3.37E-83,1.06E-44,3.48E-78,4.33E-55,2.53E-55,7.23E-123,1.77E-100,5.37E-78,1.25E-84,9.71E-44,WatchTV
1,2.10E-17,3.37E-83,1.06E-44,3.48E-78,4.33E-55,2.53E-55,7.23E-123,1.77E-100,5.37E-78,1.25E-84,9.71E-44,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,1.28E-20,9.74E-88,3.06E-49,3.03E-82,2.29E-59,2.29E-59,6.56E-127,1.60E-104,7.56E-83,4.48E-93,8.81E-48,WatchTV
1,6.15E-19,6.34E-85,1.57E-46,1.00E-79,1.09E-56,8.14E-57,2.33E-124,5.69E-102,4.22E-80,2.58E-88,3.13E-45,WatchTV
1,2.53E-10,3.53E-74,9.79E-35,1.38E-67,9.87E-46,1.38E-46,2.99E-114,6.26E-92,1.52E-66,1.43E-69,9.69E-35,WatchTV
8.08E-16,1,2.72E-63,2.43E-23,1.64E-57,8.39E-36,8.35E-38,1.58E-105,3.31E-83,1.28E-50,3.46E-27,5.12E-26,WatchTV
8.66E-18,1,1.48E-65,4.41E-25,1.00E-59,3.84E-38,3.37E-40,6.37E-108,1.33E-85,1.98E-51,2.71E-26,2.06E-28,PlayPad
8.31E-18,1,2.78E-71,9.78E-29,6.38E-66,1.65E-44,3.07E-46,7.52E-114,5.77E-91,1.06E-52,4.45E-31,2.38E-33,PlayPad
7.67E-08,0.999999923,9.23E-74,3.70E-30,2.15E-68,8.91E-47,6.78E-48,1.94E-115,2.42E-92,1.81E-54,8.03E-47,2.54E-34,PlayPad
1.34E-20,1,8.55E-75,4.18E-28,2.58E-68,4.43E-48,2.14E-49,6.12E-117,3.67E-93,1.87E-46,9.29E-37,1.07E-33,PlayPad
1.11E-38,1,1.45E-75,2.61E-20,1.89E-64,1.12E-48,7.26E-50,2.08E-117,6.54E-92,4.93E-20,1.25E-39,6.04E-28,PlayPad
7.99E-31,1,6.77E-77,2.81E-20,5.54E-64,1.68E-49,2.59E-50,7.41E-118,3.60E-92,7.97E-19,2.75E-55,1.22E-27,PlayPad
1.00E-34,1,1.99E-76,7.12E-20,5.47E-64,3.18E-49,3.51E-50,1.00E-117,4.89E-92,1.03E-17,9.74E-50,1.65E-27,PlayPad
2.53E-33,1,8.43E-72,2.85E-25,3.07E-66,1.93E-45,5.19E-47,1.49E-114,1.23E-90,5.77E-41,8.76E-19,7.58E-31,PlayPad
1.64E-59,1.00E-10,2.43E-72,1.25E-28,3.15E-69,2.35E-46,3.45E-48,9.86E-116,1.11E-91,1.60E-42,1,1.40E-31,PlayPad
2.90E-52,0.999999998,1.00E-67,6.85E-17,2.63E-60,2.00E-41,4.88E-43,1.40E-110,2.30E-85,5.13E-19,2.10E-09,3.26E-22,PlayPad
6.38E-45,7.49E-08,5.80E-43,0.999999925,3.69E-34,1.39E-19,2.23E-31,3.22E-100,5.30E-75,8.29E-20,8.63E-30,7.52E-12,PlayPad
1.43E-52,2.72E-35,1.53E-21,1,5.80E-29,9.01E-13,4.30E-31,7.11E-102,4.54E-77,3.01E-44,2.57E-62,4.65E-15,Walk
9.97E-73,2.95E-71,1,2.04E-13,5.88E-40,1.69E-11,1.23E-34,5.72E-107,1.40E-84,6.37E-88,1.18E-74,7.68E-28,Walk
2.39E-84,6.70E-86,1,3.85E-25,1.42E-63,5.58E-27,5.85E-45,5.89E-118,1.44E-95,4.23E-100,5.86E-88,7.91E-39,Walk
5.42E-87,2.08E-89,1,1.31E-28,1.19E-72,1.45E-31,2.21E-47,1.55E-120,3.80E-98,1.12E-102,1.55E-90,2.09E-41,Walk
9.71E-87,3.73E-89,1,2.03E-28,1.52E-71,2.73E-31,3.29E-47,2.79E-120,6.81E-98,2.00E-102,2.77E-90,3.74E-41,Walk
1.67E-86,6.39E-89,1,6.79E-28,2.73E-70,1.23E-30,5.14E-47,4.78E-120,1.17E-97,3.43E-102,4.75E-90,6.42E-41,Walk
3.64E-86,1.40E-88,1,1.85E-27,4.55E-69,4.37E-30,9.82E-47,1.04E-119,2.55E-97,7.50E-102,1.04E-89,1.40E-40,Walk
4.28E-86,1.64E-88,1,1.50E-27,4.37E-69,3.45E-30,1.11E-46,1.23E-119,3.00E-97,8.83E-102,1.22E-89,1.65E-40,Walk
2.91E-86,1.12E-88,1,3.73E-28,2.55E-70,6.31E-31,7.78E-47,8.34E-120,2.04E-97,5.99E-102,8.29E-90,1.12E-40,Walk
3.64E-86,1.40E-88,1,1.85E-27,4.55E-69,4.37E-30,9.82E-47,1.04E-119,2.55E-97,7.50E-102,1.04E-89,1.40E-40,Walk
1.88E-85,8.44E-88,1,8.16E-26,3.93E-67,6.36E-28,5.19E-46,5.40E-119,1.32E-96,3.88E-101,5.38E-89,7.26E-40,Walk
8.90E-82,6.90E-83,1,4.03E-22,3.81E-62,2.55E-23,2.61E-42,4.98E-115,3.12E-93,8.53E-97,1.58E-83,1.03E-36,Walk
6.84E-83,5.30E-84,1,1.12E-23,3.36E-65,3.06E-25,2.62E-43,3.83E-116,2.40E-94,6.56E-98,1.21E-84,7.91E-38,Walk
2.69E-83,1.82E-84,1,3.84E-24,1.87E-65,5.56E-26,1.03E-43,1.50E-116,9.41E-95,2.57E-98,4.76E-85,3.10E-38,Walk
1.13E-82,6.58E-84,1,2.11E-23,4.37E-63,2.97E-25,3.42E-43,6.33E-116,3.96E-94,1.08E-97,2.00E-84,1.31E-37,Walk
9.00E-58,3.57E-41,6.08E-11,1,2.99E-41,5.87E-16,1.06E-30,3.47E-102,6.96E-78,4.40E-45,1.66E-63,7.46E-16,Walk
6.28E-40,1.71E-14,1.56E-37,1,4.00E-42,2.06E-24,3.28E-33,5.11E-103,6.37E-78,1.39E-18,1.59E-58,1.29E-13,Read
4.25E-19,1,2.22E-75,1.48E-19,1.50E-59,1.18E-46,1.71E-47,4.89E-115,2.38E-89,2.13E-21,1.18E-70,8.04E-25,Read
1.09E-11,1,5.60E-77,5.94E-24,2.14E-64,5.53E-49,2.58E-49,7.38E-117,1.02E-91,3.68E-33,1.80E-69,8.80E-29,Read
2.51E-15,1,4.55E-77,9.65E-23,6.86E-64,4.49E-49,2.10E-49,6.00E-117,1.38E-91,1.11E-28,5.48E-69,5.11E-28,Read
2.72E-34,0.999998839,1.30E-74,8.11E-16,5.37E-60,8.09E-47,2.57E-47,7.36E-115,1.10E-88,1.16E-06,7.02E-61,1.16E-22,Read
1.03E-48,3.41E-08,6.60E-78,6.74E-18,1.41E-62,6.52E-50,3.04E-50,8.70E-118,3.22E-91,0.999999966,2.84E-67,6.43E-24,Read
5.49E-62,3.32E-16,1.78E-82,2.14E-22,2.46E-67,1.76E-54,8.20E-55,2.35E-122,1.35E-95,1,9.75E-72,1.16E-27,Read
2.16E-73,6.71E-24,4.21E-86,1.92E-26,3.22E-71,5.41E-58,3.15E-58,9.02E-126,7.82E-99,1,2.36E-77,2.62E-30,Read
1.03E-78,3.46E-27,2.98E-87,4.36E-28,8.76E-73,3.83E-59,2.23E-59,6.39E-127,6.46E-100,1,1.08E-78,3.63E-31,Read
8.65E-77,9.96E-27,2.55E-87,7.17E-28,2.09E-72,4.37E-59,3.27E-59,9.37E-127,9.47E-100,1,1.49E-80,5.32E-31,Read
8.65E-77,9.96E-27,2.55E-87,7.17E-28,2.09E-72,4.37E-59,3.27E-59,9.37E-127,9.47E-100,1,1.49E-80,5.32E-31,Read
4.74E-76,1.54E-25,1.04E-86,2.86E-27,5.15E-72,1.33E-58,7.78E-59,2.23E-126,2.08E-99,1,4.83E-78,9.06E-31,Read
1.26E-72,1.03E-22,1.90E-85,7.96E-26,8.83E-71,1.87E-57,8.75E-58,2.50E-125,2.00E-98,1,7.75E-75,5.15E-30,Read
2.64E-56,0.001592775,1.78E-71,2.91E-14,8.00E-60,1.53E-44,1.07E-45,3.07E-113,5.68E-87,0.998407225,4.50E-36,1.20E-20,Read
2.64E-56,0.001592775,1.78E-71,2.91E-14,8.00E-60,1.53E-44,1.07E-45,3.07E-113,5.68E-87,0.998407225,4.50E-36,1.20E-20,Read
8.18E-63,5.56E-08,4.90E-74,8.34E-17,1.95E-62,4.73E-47,3.60E-48,1.03E-115,2.59E-89,0.999999944,3.29E-40,1.48E-22,Read
2.49E-59,1.36E-14,1.25E-81,1.63E-21,2.02E-66,1.24E-53,5.77E-54,1.65E-121,8.74E-95,1,6.83E-71,5.65E-27,Read
1.58E-49,2.18E-09,1.25E-78,1.53E-18,4.62E-63,1.61E-50,9.39E-51,2.69E-118,1.09E-91,0.999999998,7.70E-70,2.94E-24,Read
1.06E-34,0.99995545,3.65E-73,1.94E-14,7.07E-57,4.24E-45,7.56E-46,1.85E-113,3.08E-87,4.45E-05,1.74E-61,4.62E-21,Read
7.97E-23,1,2.55E-75,9.19E-19,1.99E-59,4.91E-47,1.34E-47,3.28E-115,2.09E-89,4.35E-18,2.42E-68,1.60E-24,Read
0.00188867,0.99811133,5.53E-75,2.62E-25,2.95E-62,1.07E-46,2.90E-47,7.11E-115,2.93E-90,5.24E-42,4.64E-71,9.44E-29,Read
1,6.25E-15,5.14E-85,1.14E-42,3.24E-77,1.21E-56,1.21E-56,3.46E-124,6.72E-101,1.96E-71,3.01E-88,1.71E-42,Read
0.986173305,0.013826695,8.61E-77,8.20E-29,1.84E-66,1.11E-48,6.45E-49,1.84E-116,3.64E-92,1.57E-48,1.88E-73,1.79E-31,Read
6.14E-16,1,4.55E-64,1.48E-13,6.53E-34,1.66E-31,4.23E-38,8.07E-106,7.69E-81,1.20E-30,1.45E-61,2.35E-18,Read
1.64E-38,2.09E-14,5.04E-53,1.07E-07,0.999999892,3.05E-16,1.15E-28,1.23E-96,9.63E-72,4.88E-33,4.89E-54,1.72E-09,Sweep
3.89E-76,4.75E-59,1.93E-69,5.73E-36,1,1.22E-29,1.18E-45,7.76E-114,4.66E-90,1.54E-79,2.56E-80,1.36E-30,Sweep
3.57E-83,4.25E-73,6.92E-72,7.17E-46,1,9.04E-33,3.58E-49,1.62E-117,3.95E-95,1.16E-99,1.61E-87,2.17E-38,Sweep
6.94E-83,3.32E-73,2.05E-69,2.34E-44,1,1.16E-31,6.96E-49,3.14E-117,7.68E-95,2.26E-99,3.13E-87,4.22E-38,Sweep
2.07E-82,5.15E-73,1.09E-67,3.09E-43,1,7.77E-31,2.08E-48,9.37E-117,2.29E-94,6.74E-99,9.32E-87,1.26E-37,Sweep
5.93E-82,5.70E-73,6.64E-65,2.27E-41,1,1.65E-28,5.95E-48,3.40E-116,8.32E-94,2.45E-98,3.39E-86,4.57E-37,Sweep
6.50E-82,6.24E-73,7.07E-65,2.29E-41,1,1.26E-28,6.52E-48,3.61E-116,8.82E-94,2.59E-98,3.59E-86,4.85E-37,Sweep
5.91E-82,5.39E-73,6.88E-65,2.59E-41,1,3.19E-28,5.93E-48,3.63E-116,8.87E-94,2.61E-98,3.61E-86,4.88E-37,Sweep
1.51E-82,3.41E-73,2.44E-68,2.59E-43,1,2.93E-29,1.51E-48,1.08E-116,2.64E-94,7.78E-99,1.08E-86,1.45E-37,Sweep
4.10E-82,1.38E-72,5.83E-67,1.82E-42,1,1.48E-28,6.86E-48,2.72E-116,6.63E-94,1.95E-98,2.70E-86,3.65E-37,Sweep
4.33E-82,1.35E-72,7.64E-66,9.42E-42,1,2.52E-28,7.24E-48,2.41E-116,5.88E-94,1.73E-98,2.39E-86,3.23E-37,Sweep
4.88E-80,3.17E-71,6.10E-60,9.87E-38,1,2.48E-25,1.36E-45,2.47E-114,6.04E-92,1.78E-96,2.46E-84,3.32E-35,Sweep
3.56E-78,9.80E-70,6.52E-55,1.63E-34,1,6.55E-23,2.34E-43,1.75E-112,4.28E-90,1.26E-94,1.74E-82,2.35E-33,Sweep
2.55E-72,9.85E-65,1.48E-46,3.59E-26,1,7.63E-12,1.41E-36,1.24E-105,7.77E-84,1.37E-88,1.90E-76,2.56E-27,Sweep
1.05E-66,5.91E-59,4.63E-41,3.79E-20,0.999990873,9.13E-06,2.94E-31,3.99E-100,1.17E-78,3.65E-82,5.90E-69,3.85E-22,Sweep
7.23E-65,6.16E-60,2.44E-27,1.89E-13,1.75E-10,1,2.29E-28,5.77E-98,1.69E-76,5.28E-80,8.53E-67,5.57E-20,Sweep
3.45E-66,1.31E-62,8.56E-20,1.71E-13,6.80E-23,1,2.60E-23,1.66E-93,1.34E-76,2.55E-81,3.67E-68,2.39E-21,Sweep
1.27E-63,1.75E-63,1.05E-22,2.11E-16,5.55E-40,1,2.66E-10,5.52E-72,7.91E-73,4.48E-79,2.71E-67,3.66E-18,Sleep
6.86E-67,3.29E-68,1.16E-45,4.13E-30,2.41E-57,3.43E-13,1,2.17E-28,4.89E-76,2.77E-82,1.68E-70,2.27E-21,Sleep
4.24E-75,6.98E-77,1.12E-68,3.99E-45,2.34E-70,4.98E-30,1.75E-05,0.999982487,4.29E-85,1.87E-90,1.21E-78,1.63E-29,Sleep
7.94E-91,3.05E-93,2.69E-84,1.26E-60,3.17E-86,5.20E-49,7.61E-21,1,4.42E-101,1.64E-106,2.26E-94,3.06E-45,Sleep
7.94E-91,3.05E-93,2.69E-84,1.26E-60,3.17E-86,5.20E-49,7.61E-21,1,4.42E-101,1.64E-106,2.26E-94,3.06E-45,Sleep
2.81E-88,1.08E-90,1.73E-81,6.17E-58,1.55E-83,1.85E-45,6.18E-18,1,2.85E-98,5.80E-104,8.02E-92,1.08E-42,Sleep
2.38E-94,9.13E-97,2.65E-88,2.06E-64,5.18E-90,2.80E-54,3.52E-25,1,4.37E-105,4.90E-110,6.79E-98,9.17E-49,Sleep
2.38E-94,9.13E-97,2.65E-88,2.06E-64,5.18E-90,2.80E-54,3.52E-25,1,4.37E-105,4.90E-110,6.79E-98,9.17E-49,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
2.00E-95,7.69E-98,1.42E-89,1.35E-65,3.39E-91,5.08E-56,1.29E-26,1,2.34E-106,4.13E-111,5.72E-99,7.72E-50,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
1.95E-96,7.48E-99,8.30E-91,9.87E-67,2.48E-92,9.39E-58,4.76E-28,1,1.37E-107,4.02E-112,5.56E-100,7.51E-51,Sleep
